200 20.000000 10
0 10.5489 18.5109 0.2500
1 9.3147 0.2508 0.2500
2 7.1765 2.0307 0.2500
3 5.1471 9.6957 0.2500
4 4.4808 0.4617 0.2500
5 17.6596 19.6988 0.2500
6 6.8068 1.7607 0.2500
7 10.4451 12.0725 0.2500
8 0.4986 0.1909 0.2500
9 9.0194 12.4716 0.2500
10 3.6400 8.1767 0.2500
11 17.8462 17.0115 0.2500
12 7.8030 9.6807 0.2500
13 12.9015 9.4002 0.2500
14 19.0263 2.5044 0.2500
15 18.6488 14.2784 0.2500
16 12.4544 3.6564 0.2500
17 15.8185 2.0120 0.2500
18 7.8964 9.2895 0.2500
19 19.5266 10.3573 0.2500
20 12.0255 8.7025 0.2500
21 16.0412 19.2210 0.2500
22 17.0177 10.5101 0.2500
23 10.8952 6.1615 0.2500
24 15.1377 8.3275 0.2500
25 1.0675 2.3293 0.2500
26 4.1121 13.1759 0.2500
27 19.5967 1.2206 0.2500
28 19.0850 10.3052 0.2500
29 12.2609 5.9183 0.2500
30 13.5365 19.2437 0.2500
31 12.8551 14.4207 0.2500
32 3.7479 7.6208 0.2500
33 6.1109 17.2085 0.2500
34 9.2315 11.6759 0.2500
35 5.4554 16.3776 0.2500
36 5.0011 9.3496 0.2500
37 6.5687 11.4647 0.2500
38 10.6381 15.4719 0.2500
39 7.0994 13.5193 0.2500
40 15.8174 2.7972 0.2500
41 7.9124 6.0262 0.2500
42 2.2896 17.4989 0.2500
43 11.8925 8.9579 0.2500
44 8.2712 13.2284 0.2500
45 12.5926 0.5389 0.2500
46 12.7783 13.9508 0.2500
47 16.9127 10.2267 0.2500
48 14.6451 12.5135 0.2500
49 13.5139 15.9682 0.2500
50 3.8020 19.2638 0.2500
51 1.8168 18.9631 0.2500
52 10.8423 13.0199 0.2500
53 15.2035 9.9702 0.2500
54 14.9932 15.3163 0.2500
55 6.4356 2.6133 0.2500
56 10.3078 8.0771 0.2500
57 13.3218 11.2001 0.2500
58 15.2333 4.7412 0.2500
59 8.3121 13.2381 0.2500
60 1.6618 5.3437 0.2500
61 16.9660 0.1351 0.2500
62 16.1563 17.1791 0.2500
63 7.1351 3.4980 0.2500
64 8.2491 4.4034 0.2500
65 3.2222 8.9908 0.2500
66 8.5436 2.2999 0.2500
67 8.0218 14.8950 0.2500
68 12.8057 14.9197 0.2500
69 18.4171 18.3080 0.2500
70 7.3143 8.4219 0.2500
71 0.6028 18.3496 0.2500
72 15.4478 16.6763 0.2500
73 5.5238 12.7896 0.2500
74 15.8132 10.5556 0.2500
75 15.8615 12.1914 0.2500
76 18.1853 7.8311 0.2500
77 2.1736 3.9640 0.2500
78 5.1006 16.7004 0.2500
79 7.6821 7.6408 0.2500
80 14.1629 12.7130 0.2500
81 18.7289 12.2554 0.2500
82 8.9454 6.2233 0.2500
83 11.0594 16.8606 0.2500
84 4.8324 5.4891 0.2500
85 10.8671 6.0358 0.2500
86 0.2272 19.1464 0.2500
87 13.9223 3.6552 0.2500
88 13.2582 11.0300 0.2500
89 6.1328 0.2406 0.2500
90 19.4472 0.1723 0.2500
91 4.5254 1.8956 0.2500
92 6.7616 9.3019 0.2500
93 8.9072 2.1229 0.2500
94 11.0546 6.2751 0.2500
95 1.3616 11.7481 0.2500
96 7.1035 14.6137 0.2500
97 13.2512 16.7266 0.2500
98 8.2884 11.6850 0.2500
99 17.5477 8.7859 0.2500
100 11.4119 6.0464 0.2500
101 18.0731 9.6549 0.2500
102 12.2401 9.0950 0.2500
103 16.6381 6.0597 0.2500
104 12.0552 10.3939 0.2500
105 4.0755 9.7137 0.2500
106 15.8389 10.9180 0.2500
107 1.8179 14.2078 0.2500
108 8.6655 3.9429 0.2500
109 16.9332 19.0068 0.2500
110 8.4637 19.4210 0.2500
111 5.4292 9.6818 0.2500
112 10.5144 4.4198 0.2500
113 6.1565 3.0626 0.2500
114 1.8837 19.5672 0.2500
115 10.7843 6.1673 0.2500
116 12.4452 9.4331 0.2500
117 14.0924 18.5681 0.2500
118 3.2324 13.3907 0.2500
119 3.2182 9.2775 0.2500
120 12.5634 2.7395 0.2500
121 14.5163 1.2909 0.2500
122 5.7164 19.7354 0.2500
123 12.3332 19.5968 0.2500
124 4.8899 14.6611 0.2500
125 5.2685 1.7652 0.2500
126 12.7631 8.1835 0.2500
127 12.3901 14.1543 0.2500
128 5.1796 7.9830 0.2500
129 4.3878 1.3213 0.2500
130 16.3107 1.0032 0.2500
131 12.7978 1.4039 0.2500
132 13.1080 5.6579 0.2500
133 4.1956 6.0361 0.2500
134 14.9425 1.9435 0.2500
135 15.6548 9.7897 0.2500
136 19.0291 1.6476 0.2500
137 2.7832 1.1831 0.2500
138 2.5700 15.7032 0.2500
139 2.2964 14.9748 0.2500
140 8.5090 1.2282 0.2500
141 17.3565 13.7593 0.2500
142 3.3665 6.9046 0.2500
143 15.7991 15.8109 0.2500
144 2.8364 2.0872 0.2500
145 8.8897 15.6679 0.2500
146 13.6555 12.3969 0.2500
147 11.3976 14.1292 0.2500
148 18.7138 12.5415 0.2500
149 12.5426 5.1348 0.2500
150 16.4564 5.7199 0.2500
151 11.7657 18.4265 0.2500
152 15.3339 8.2037 0.2500
153 13.2938 8.9367 0.2500
154 19.3913 17.5552 0.2500
155 9.1144 16.5296 0.2500
156 2.0419 13.4251 0.2500
157 11.2426 13.0189 0.2500
158 11.6543 0.9928 0.2500
159 1.0617 7.3120 0.2500
160 4.7887 18.8429 0.2500
161 6.0340 14.0817 0.2500
162 0.7492 15.4418 0.2500
163 12.2257 6.5432 0.2500
